Name,Symbol
Exxon Mobil Corporation,XOM
General Electric Company,GE
Microsoft Corporation,MSFT
BP p.l.c.,BP
Procter & Gamble Company (The),PG
"Wal-Mart Stores, Inc.",WMT
"Pfizer, Inc.",PFE
"HSBC Holdings, plc.",HBC
Toyota Motor Corporation,TM
JOHNSON & JOHNSON,JNJ
Bank of America Corporation,BAC
"American International Group, Inc.",AIG
"TotalFinaElf, S.A.",TOT
Novartis AG,NVS
Altria Group,MO
GLAXOSMITHKLINE PLC,GSK
Mitsubishi UFJ Financial Group Inc,MTU
J.P. Morgan Chase & Co.,JPM
ROYAL DUTCH SHELL PLC,RDS/A
ChevronTexaco Corporation,CVX
Sanofi-Aventis SA,SNY
Vodafone AirTouch Public Limited Company,VOD
Intel Corporation,INTC
International Business Machines Corporation,IBM
"Cisco Systems, Inc.",CSCO
Berkshire Hathaway Inc.,BRK/A
UBS AG,UBS
Wells Fargo Cap IX,WFC
AT&T Inc.,T
ROYAL DUTCH SHELL PLC,RDS/B
Coca-Cola Company (The),KO
China Mobile (Hong Kong) Ltd.,CHL
"Pepsico, Inc.",PEP
Verizon Communications Inc.,VZ
CONOCOPHILLIPS,COP
"Genentech, Inc.",DNA
Amgen Inc.,AMGN
"Banco Santander Central Hispano, S.A.",STD
Hewlett-Packard Company,HPQ
Google Inc.,GOOG
"Home Depot, Inc. (The)",HD
Wachovia Corporation,WB
Siemens AG,SI
Nokia Corporation,NOK
UnitedHealth Group Incorporated,UNH
Time Warner Inc.,TWX
QUALCOMM Incorporated,QCOM
"ING Group, N.V.",ING
NTT Docomo Inc,
E.ON AG,
ASTRAZENECA PLC,
"Merck & Company, Inc.",
Schlumberger N.V.,
Telefonica SA,
Mobile TeleSystems,
Nippon Telegraph and Telephone Corporation,
BHP Billiton Limited,
CREDIT SUISSE GROUP,
Barclays PLC,
Dell Inc.,
"Merrill Lynch & Co., Inc.",
Banco Bilbao Viscaya Argentaria S.A.,
"Medtronic, Inc.",
Abbott Laboratories,
Deutsche Telekom AG,
American Express Company,
Morgan Stanley,
"SAP Aktiengesellschaft Systeme, Anwendungen, Produkte",
Oracle Corporation,
Eli Lilly and Company,
Allianz Aktiengesellschaft,
"Goldman Sachs Group, Inc. (The)",
"Apple Computer, Inc.",
AXA,
American Home Products Corporation,
STATOIL ASA,
eBay Inc.,
Petroleo Brasileiro S.A.- Petrobras,
United Technologies Corporation,
France Telecom S.A.,
Anglo American plc,
DAIMLERCHRYSLER AG,
Deutsche Bank AG,
LM Ericsson Telephone Company,
"Motorola, Inc.",
Federal National Mortgage Association,
Boeing Company (The),
3M Company,
SPDR Trust Series I,
Rio Tinto Plc,
U.S. Bancorp,
"Canon, Inc.",
Taiwan Semiconductor Manufacturing Company Limited,
"Matsushita Electric Industrial Company, Ltd.",
"Tyco International, Ltd.",
ABN Amro Holding N.V.,
"Honda Motor Company, Ltd.",
ENEL S.p.A.,
Structured Products Corp.,
LLOYDS TSB GROUP PLC,
"Nissan Motor Co., Ltd.",
Royal Bank Of Canada,
"Lowe's Companies, Inc.",
Sony Corporation,
Yahoo! Inc.,
Walt Disney Company (The),
Manulife Financial Corp,
Target Corporation,
Telefonica Moviles S.A.,
"British American Tobacco  Industries, p.l.c.",
"United Parcel Service, Inc.",
WellPoint Health Networks Inc.,
Texas Instruments Incorporated,
SUEZ ADS,
Federal Home Loan Mortgage Corporation,
BHP BILLITON PLC,
"Caterpillar, Inc.",
Lehman ABS Corporation,
"Koninklijke Philips Electronics, N.V.",
McDonald's Corporation,
Walgreen Company,
Diageo plc,
Encana Corporation,
Brown-Forman Corporation,
"America Movil, S.A. de C.V.",
"Washington Mutual, Inc.",
National Australia Bank Limited,
Halliburton Company,
Dow Chemical Company (The),
Unilever NV,
BG Group plc,
